===============================================================================
OpenMxP - High Performance Mixed Precision Benchmark - NCCS/OLCF
===============================================================================
Build Info: git branch: [], hash-id: []
Running configuration:
	Ranks = 1024
	OpenMP threads = 7
	PxQ 32x32
	cusolver/rocsolver Sgetrf
	2ringM comm
	1ring dcomm
	Node Grid - 2x4R pxq grid
	no sync on sgemm
	default stream sgemm
	gpu direct mpi
	GPU Initialization
	Alt-Trsm Method
	Building panels
	gpu p[62940774400] l[1284505600] r[1284505600] ... tot[65509785600]
	Finished building panels
	gpu d_piv[26214400]
	Initialization 1 = 2.1105 sec
	Gpu memory (free/total) 2978675712/68702699520	jobid=290129
	n=4014080 ln=125440 b=2560 r=32 c=32 epoch_size=81920
#BEGIN_: Mon Mar 27 04:30:59 2023
Entering LU
Step 10, Rank 0, Elapsed 5.80, Work left 98.10%, Time left: 299.50, Est Total: 305.30, GFlops: 141233934.16, TFlops/GPU: 137.92
Step 20, Rank 0, Elapsed 11.19, Work left 96.22%, Time left: 285.07, Est Total: 296.27, GFlops: 145540752.65, TFlops/GPU: 142.13
Step 30, Rank 0, Elapsed 16.27, Work left 94.37%, Time left: 272.65, Est Total: 288.92, GFlops: 149241859.39, TFlops/GPU: 145.74
Step 40, Rank 0, Elapsed 21.67, Work left 92.54%, Time left: 268.80, Est Total: 290.46, GFlops: 148447771.05, TFlops/GPU: 144.97
Step 50, Rank 0, Elapsed 26.81, Work left 90.74%, Time left: 262.57, Est Total: 289.38, GFlops: 149005030.04, TFlops/GPU: 145.51
Step 60, Rank 0, Elapsed 31.87, Work left 88.95%, Time left: 256.63, Est Total: 288.49, GFlops: 149462321.26, TFlops/GPU: 145.96
Step 70, Rank 0, Elapsed 37.07, Work left 87.20%, Time left: 252.46, Est Total: 289.53, GFlops: 148928266.10, TFlops/GPU: 145.44
Step 80, Rank 0, Elapsed 41.79, Work left 85.46%, Time left: 245.63, Est Total: 287.42, GFlops: 150020347.73, TFlops/GPU: 146.50
Step 90, Rank 0, Elapsed 46.81, Work left 83.75%, Time left: 241.26, Est Total: 288.08, GFlops: 149678958.04, TFlops/GPU: 146.17
Step 100, Rank 0, Elapsed 51.87, Work left 82.06%, Time left: 237.28, Est Total: 289.15, GFlops: 149122148.49, TFlops/GPU: 145.63
Step 110, Rank 0, Elapsed 56.42, Work left 80.40%, Time left: 231.39, Est Total: 287.81, GFlops: 149817072.91, TFlops/GPU: 146.31
Step 120, Rank 0, Elapsed 61.32, Work left 78.75%, Time left: 227.28, Est Total: 288.60, GFlops: 149406456.37, TFlops/GPU: 145.90
Step 130, Rank 0, Elapsed 66.06, Work left 77.13%, Time left: 222.84, Est Total: 288.90, GFlops: 149249133.14, TFlops/GPU: 145.75
Step 140, Rank 0, Elapsed 70.46, Work left 75.53%, Time left: 217.53, Est Total: 287.98, GFlops: 149726580.18, TFlops/GPU: 146.22
Step 150, Rank 0, Elapsed 75.06, Work left 73.96%, Time left: 213.19, Est Total: 288.25, GFlops: 149587093.28, TFlops/GPU: 146.08
Step 160, Rank 0, Elapsed 79.31, Work left 72.41%, Time left: 208.09, Est Total: 287.40, GFlops: 150031527.43, TFlops/GPU: 146.52
Step 170, Rank 0, Elapsed 83.98, Work left 70.87%, Time left: 204.34, Est Total: 288.32, GFlops: 149550099.31, TFlops/GPU: 146.05
Step 180, Rank 0, Elapsed 88.45, Work left 69.36%, Time left: 200.25, Est Total: 288.69, GFlops: 149358082.93, TFlops/GPU: 145.86
Step 190, Rank 0, Elapsed 92.67, Work left 67.87%, Time left: 195.79, Est Total: 288.46, GFlops: 149481419.72, TFlops/GPU: 145.98
Step 200, Rank 0, Elapsed 97.01, Work left 66.41%, Time left: 191.78, Est Total: 288.79, GFlops: 149309802.78, TFlops/GPU: 145.81
Step 210, Rank 0, Elapsed 101.15, Work left 64.96%, Time left: 187.55, Est Total: 288.70, GFlops: 149355346.72, TFlops/GPU: 145.85
Step 220, Rank 0, Elapsed 105.30, Work left 63.54%, Time left: 183.49, Est Total: 288.78, GFlops: 149312297.08, TFlops/GPU: 145.81
Step 230, Rank 0, Elapsed 109.39, Work left 62.13%, Time left: 179.50, Est Total: 288.89, GFlops: 149255627.55, TFlops/GPU: 145.76
Step 240, Rank 0, Elapsed 113.16, Work left 60.75%, Time left: 175.15, Est Total: 288.30, GFlops: 149560060.54, TFlops/GPU: 146.05
Step 250, Rank 0, Elapsed 117.20, Work left 59.39%, Time left: 171.39, Est Total: 288.59, GFlops: 149409467.15, TFlops/GPU: 145.91
Step 260, Rank 0, Elapsed 121.22, Work left 58.05%, Time left: 167.73, Est Total: 288.96, GFlops: 149221845.23, TFlops/GPU: 145.72
Step 270, Rank 0, Elapsed 124.88, Work left 56.73%, Time left: 163.71, Est Total: 288.59, GFlops: 149410745.17, TFlops/GPU: 145.91
Step 280, Rank 0, Elapsed 128.76, Work left 55.43%, Time left: 160.10, Est Total: 288.85, GFlops: 149275326.59, TFlops/GPU: 145.78
Step 290, Rank 0, Elapsed 132.58, Work left 54.14%, Time left: 156.54, Est Total: 289.12, GFlops: 149137334.16, TFlops/GPU: 145.64
Step 300, Rank 0, Elapsed 136.07, Work left 52.88%, Time left: 152.73, Est Total: 288.80, GFlops: 149305621.26, TFlops/GPU: 145.81
Step 310, Rank 0, Elapsed 139.64, Work left 51.64%, Time left: 149.13, Est Total: 288.77, GFlops: 149319831.15, TFlops/GPU: 145.82
Step 320, Rank 0, Elapsed 143.02, Work left 50.42%, Time left: 145.45, Est Total: 288.47, GFlops: 149471644.59, TFlops/GPU: 145.97
Step 330, Rank 0, Elapsed 146.69, Work left 49.22%, Time left: 142.17, Est Total: 288.86, GFlops: 149274742.08, TFlops/GPU: 145.78
Step 340, Rank 0, Elapsed 150.10, Work left 48.03%, Time left: 138.75, Est Total: 288.84, GFlops: 149280135.18, TFlops/GPU: 145.78
Step 350, Rank 0, Elapsed 153.38, Work left 46.87%, Time left: 135.31, Est Total: 288.70, GFlops: 149357426.93, TFlops/GPU: 145.86
Step 360, Rank 0, Elapsed 156.84, Work left 45.73%, Time left: 132.14, Est Total: 288.98, GFlops: 149208174.53, TFlops/GPU: 145.71
Step 370, Rank 0, Elapsed 160.12, Work left 44.60%, Time left: 128.90, Est Total: 289.02, GFlops: 149187823.39, TFlops/GPU: 145.69
Step 380, Rank 0, Elapsed 163.25, Work left 43.49%, Time left: 125.64, Est Total: 288.89, GFlops: 149256953.84, TFlops/GPU: 145.76
Step 390, Rank 0, Elapsed 166.55, Work left 42.40%, Time left: 122.61, Est Total: 289.16, GFlops: 149115792.58, TFlops/GPU: 145.62
Step 400, Rank 0, Elapsed 169.47, Work left 41.33%, Time left: 119.39, Est Total: 288.86, GFlops: 149273109.20, TFlops/GPU: 145.77
Step 410, Rank 0, Elapsed 172.63, Work left 40.28%, Time left: 116.44, Est Total: 289.07, GFlops: 149165550.90, TFlops/GPU: 145.67
Step 420, Rank 0, Elapsed 175.89, Work left 39.25%, Time left: 113.62, Est Total: 289.50, GFlops: 148940771.20, TFlops/GPU: 145.45
Step 430, Rank 0, Elapsed 178.74, Work left 38.23%, Time left: 110.62, Est Total: 289.35, GFlops: 149017949.20, TFlops/GPU: 145.53
Step 440, Rank 0, Elapsed 181.67, Work left 37.23%, Time left: 107.75, Est Total: 289.42, GFlops: 148984267.03, TFlops/GPU: 145.49
Step 450, Rank 0, Elapsed 184.76, Work left 36.25%, Time left: 105.05, Est Total: 289.82, GFlops: 148778772.01, TFlops/GPU: 145.29
Step 460, Rank 0, Elapsed 187.67, Work left 35.28%, Time left: 102.32, Est Total: 289.99, GFlops: 148689121.80, TFlops/GPU: 145.20
Step 470, Rank 0, Elapsed 190.59, Work left 34.34%, Time left: 99.67, Est Total: 290.26, GFlops: 148551035.05, TFlops/GPU: 145.07
Step 480, Rank 0, Elapsed 193.40, Work left 33.41%, Time left: 97.02, Est Total: 290.42, GFlops: 148470412.52, TFlops/GPU: 144.99
Step 490, Rank 0, Elapsed 196.30, Work left 32.50%, Time left: 94.50, Est Total: 290.80, GFlops: 148276490.22, TFlops/GPU: 144.80
Step 500, Rank 0, Elapsed 198.98, Work left 31.60%, Time left: 91.92, Est Total: 290.90, GFlops: 148223368.54, TFlops/GPU: 144.75
Step 510, Rank 0, Elapsed 201.66, Work left 30.72%, Time left: 89.42, Est Total: 291.08, GFlops: 148133057.74, TFlops/GPU: 144.66
Step 520, Rank 0, Elapsed 204.52, Work left 29.86%, Time left: 87.06, Est Total: 291.58, GFlops: 147879597.86, TFlops/GPU: 144.41
Step 530, Rank 0, Elapsed 207.32, Work left 29.01%, Time left: 84.72, Est Total: 292.04, GFlops: 147646915.93, TFlops/GPU: 144.19
Step 540, Rank 0, Elapsed 209.89, Work left 28.18%, Time left: 82.36, Est Total: 292.25, GFlops: 147542523.61, TFlops/GPU: 144.08
Step 550, Rank 0, Elapsed 212.77, Work left 27.37%, Time left: 80.16, Est Total: 292.93, GFlops: 147198233.90, TFlops/GPU: 143.75
